date,district,season,rainfall_anomaly
1981-01-01,Bugesera,off,-0.5993692697980992
1981-02-01,Bugesera,off,-0.6526130079182919
1981-03-01,Bugesera,A,0.19135733289135384
1981-04-01,Bugesera,A,1.275959015698292
1981-05-01,Bugesera,A,0.3241227891088105
1981-06-01,Bugesera,off,-0.24368721227272225
1981-07-01,Bugesera,off,-0.16781523583486022
1981-08-01,Bugesera,off,0.9022379188325542
1981-09-01,Bugesera,off,1.5544940115542636
1981-10-01,Bugesera,B,-0.07327212121722718
1981-11-01,Bugesera,B,-1.3450408991443188
1981-12-01,Bugesera,B,-0.1955586780207348
1982-01-01,Bugesera,off,0.2232210094343709
1982-02-01,Bugesera,off,-0.6167361102008108
1982-03-01,Bugesera,A,-1.0079735364332842
1982-04-01,Bugesera,A,0.968740045908993
1982-05-01,Bugesera,A,1.0626858254520497
1982-06-01,Bugesera,off,-0.081466723728048
1982-07-01,Bugesera,off,-0.16258352798966266
1982-08-01,Bugesera,off,-1.2419302117064888
1982-09-01,Bugesera,off,0.8555113360651561
1982-10-01,Bugesera,B,0.7305395888190813
1982-11-01,Bugesera,B,0.5896949596382511
1982-12-01,Bugesera,B,1.057408108146115
1983-01-01,Bugesera,off,-1.8409465536354288
1983-02-01,Bugesera,off,-0.05912468956494529
1983-03-01,Bugesera,A,-0.529941924718747
1983-04-01,Bugesera,A,0.9990004467469058
1983-05-01,Bugesera,A,-1.0347898653029135
1983-06-01,Bugesera,off,-0.12378594874957016
1983-07-01,Bugesera,off,-0.2267940162277497
1983-08-01,Bugesera,off,0.2500984017164724
1983-09-01,Bugesera,off,0.23614018904516534
1983-10-01,Bugesera,B,0.6445014435934913
1983-11-01,Bugesera,B,-0.26964220679047013
1983-12-01,Bugesera,B,-0.63222645940324
1984-01-01,Bugesera,off,0.0943237264028071
1984-02-01,Bugesera,off,0.24957573949527115
1984-03-01,Bugesera,A,-0.7176245311345751
1984-04-01,Bugesera,A,-0.8685504133547627
1984-05-01,Bugesera,A,-2.046957829782624
1984-06-01,Bugesera,off,-0.9466770801927359
1984-07-01,Bugesera,off,1.6159431919855762
1984-08-01,Bugesera,off,1.0923412747037216
1984-09-01,Bugesera,off,-0.9342885374579885
1984-10-01,Bugesera,B,0.2931462093505424
1984-11-01,Bugesera,B,0.771461697288966
1984-12-01,Bugesera,B,-1.203611326642997
1985-01-01,Bugesera,off,-0.43584930647121173
1985-02-01,Bugesera,off,1.1484114668754322
1985-03-01,Bugesera,A,-0.8563324661555431
1985-04-01,Bugesera,A,2.6168867223281906
1985-05-01,Bugesera,A,-1.653637562186703
1985-06-01,Bugesera,off,-0.12372475401793091
1985-07-01,Bugesera,off,-0.24217137125636662
1985-08-01,Bugesera,off,-1.132361940065079
1985-09-01,Bugesera,off,1.3860007765020612
1985-10-01,Bugesera,B,-0.2581331443288082
1985-11-01,Bugesera,B,0.2693661348082451
1985-12-01,Bugesera,B,-0.23353594224135166
1986-01-01,Bugesera,off,-0.4231962033681754
1986-02-01,Bugesera,off,0.42813165189380753
1986-03-01,Bugesera,A,-0.8703080248949486
1986-04-01,Bugesera,A,2.4095982240284712
1986-05-01,Bugesera,A,0.21171842936429608
1986-06-01,Bugesera,off,-0.2630693840491401
1986-07-01,Bugesera,off,-0.20812269897638772
1986-08-01,Bugesera,off,-1.0961439706576022
1986-09-01,Bugesera,off,-0.8599486617369297
1986-10-01,Bugesera,B,0.22256142907482226
1986-11-01,Bugesera,B,-0.2247707818278359
1986-12-01,Bugesera,B,-0.03344095269298276
1987-01-01,Bugesera,off,0.5208880021162686
1987-02-01,Bugesera,off,0.779805060539341
1987-03-01,Bugesera,A,0.21885362046756793
1987-04-01,Bugesera,A,-0.6874168250967904
1987-05-01,Bugesera,A,2.1245832242057467
1987-06-01,Bugesera,off,-0.04591984301435628
1987-07-01,Bugesera,off,-0.28966884528417114
1987-08-01,Bugesera,off,-0.9548168987348699
1987-09-01,Bugesera,off,0.9458517598271237
1987-10-01,Bugesera,B,-0.23110104613033688
1987-11-01,Bugesera,B,0.9299521126585936
1987-12-01,Bugesera,B,-1.7577500357941533
1988-01-01,Bugesera,off,-0.06571128888066373
1988-02-01,Bugesera,off,-0.1900716737775474
1988-03-01,Bugesera,A,0.06308767190942967
1988-04-01,Bugesera,A,1.235927800330882
1988-05-01,Bugesera,A,-0.944564357749833
1988-06-01,Bugesera,off,-0.7647461338932328
1988-07-01,Bugesera,off,0.23765274708235654
1988-08-01,Bugesera,off,2.1398561208063804
1988-09-01,Bugesera,off,0.9340652677188449
1988-10-01,Bugesera,B,-0.3958934921816458
1988-11-01,Bugesera,B,-0.2704609817942653
1988-12-01,Bugesera,B,-1.0653314204765312
1989-01-01,Bugesera,off,0.09656576241050037
1989-02-01,Bugesera,off,0.09552505801514012
1989-03-01,Bugesera,A,-0.42232576024137364
1989-04-01,Bugesera,A,-0.19126722734654958
1989-05-01,Bugesera,A,-0.22750707930242522
1989-06-01,Bugesera,off,0.2424387337998791
1989-07-01,Bugesera,off,-0.07156598679035077
1989-08-01,Bugesera,off,1.4361147968626173
1989-09-01,Bugesera,off,-0.0584971033296244
1989-10-01,Bugesera,B,-0.4086741658859882
1989-11-01,Bugesera,B,-0.38158743891420893
1989-12-01,Bugesera,B,2.298835043475786
1990-01-01,Bugesera,off,-0.003658099973489585
1990-02-01,Bugesera,off,2.094340897660401
1990-03-01,Bugesera,A,0.14343960171608877
1990-04-01,Bugesera,A,0.36009831945851933
1990-05-01,Bugesera,A,-0.9110461432743103
1990-06-01,Bugesera,off,-1.0192251536378671
1990-07-01,Bugesera,off,0.07235732474673111
1990-08-01,Bugesera,off,-0.9113677558514374
1990-09-01,Bugesera,off,1.1817214569051415
1990-10-01,Bugesera,B,-0.9779682290455594
1990-11-01,Bugesera,B,-0.19474767472398205
1990-12-01,Bugesera,B,0.04876445164548535
1991-01-01,Bugesera,off,-0.2864721308733513
1991-02-01,Bugesera,off,0.18438539538838636
1991-03-01,Bugesera,A,-0.397793537265176
1991-04-01,Bugesera,A,-0.3150948145701895
1991-05-01,Bugesera,A,2.7694330353118835
1991-06-01,Bugesera,off,0.22797583769508872
1991-07-01,Bugesera,off,0.39795679952388685
1991-08-01,Bugesera,off,-0.864879863576507
1991-09-01,Bugesera,off,-1.3703095003163184
1991-10-01,Bugesera,B,1.658497955839566
1991-11-01,Bugesera,B,-0.8445492212121112
1991-12-01,Bugesera,B,0.05156184834686512
1992-01-01,Bugesera,off,-1.1321498357347968
1992-02-01,Bugesera,off,-0.890654341992594
1992-03-01,Bugesera,A,-1.0438088059749508
1992-04-01,Bugesera,A,0.08727228111351261
1992-05-01,Bugesera,A,-0.5519493457072284
1992-06-01,Bugesera,off,1.182150452746234
1992-07-01,Bugesera,off,-0.15397746671554385
1992-08-01,Bugesera,off,-1.3235621691205965
1992-09-01,Bugesera,off,0.04317115050598213
