date,province,district,crop,variety,price_rwf
2026-06-01,Northern,Burera,beans,Ibinyarwanda,700.0
2026-06-01,Northern,Burera,beans,Mushingiriro,825.0
2026-06-01,Northern,Gicumbi,beans,Colta,1200.0
2026-07-01,Northern,Gicumbi,beans,Colta,1200.0
2026-06-01,Northern,Gicumbi,beans,Ibinyarwanda,800.0
2026-06-01,Northern,Gicumbi,beans,Kiryumukwe,1100.0
2026-07-01,Northern,Gicumbi,beans,Kiryumukwe,1100.0
2026-06-01,Northern,Gicumbi,beans,Mutiki,1100.0
2026-07-01,Northern,Gicumbi,beans,Mutiki,1100.0
2026-07-01,Northern,Gicumbi,beans,Shyushya,900.0
2026-06-01,Southern,Huye,beans,Ibinyarwanda,700.0
2026-06-01,Southern,Huye,beans,Kiryumukwe,800.0
2026-06-01,Southern,Huye,beans,Mushingiriro,800.0
2026-07-01,Southern,Huye,beans,Mushingiriro,600.0
2026-06-01,Southern,Huye,beans,Mutiki,800.0
2026-06-01,Southern,Huye,beans,Shyushya,800.0
2026-07-01,Southern,Huye,beans,Shyushya,500.0
2026-06-01,Western,Karongi,beans,Ibinyarwanda,850.0
2026-07-01,Western,Karongi,beans,Ibinyarwanda,878.0
2026-06-01,Western,Karongi,beans,Mushingiriro,869.0
2026-07-01,Western,Karongi,beans,Mushingiriro,895.0
2026-06-01,Western,Karongi,beans,Mutiki,901.0
2026-07-01,Western,Karongi,beans,Mutiki,966.0
2026-06-01,Western,Karongi,beans,Shyushya,850.0
2026-07-01,Western,Karongi,beans,Shyushya,916.0
2026-06-01,Kigali City,Kicukiro,beans,Colta,950.0
2026-06-01,Kigali City,Kicukiro,beans,Mutiki,850.0
2026-06-01,Kigali City,Kicukiro,beans,Shyushya,750.0
2026-06-01,Eastern,Kirehe,beans,Colta,1150.0
2026-06-01,Eastern,Kirehe,beans,Ibinyarwanda,750.0
2026-06-01,Eastern,Kirehe,beans,Kiryumukwe,1150.0
2026-06-01,Eastern,Kirehe,beans,Mutiki,1050.0
2026-06-01,Eastern,Kirehe,beans,Shyushya,850.0
2026-06-01,Northern,Musanze,beans,Colta,1233.0
2026-06-01,Northern,Musanze,beans,Ibinyarwanda,885.0
2026-06-01,Northern,Musanze,beans,Injyamane,977.0
2026-06-01,Northern,Musanze,beans,Kiryumukwe,964.0
2026-06-01,Northern,Musanze,beans,Mushingiriro,880.0
2026-06-01,Northern,Musanze,beans,Shyushya,837.0
2026-06-01,Eastern,Ngoma,beans,Ibinyarwanda,707.0
2026-07-01,Eastern,Ngoma,beans,Ibinyarwanda,700.0
2026-06-01,Eastern,Ngoma,beans,Mushingiriro,750.0
2026-07-01,Eastern,Ngoma,beans,Mushingiriro,750.0
2026-06-01,Eastern,Ngoma,beans,Shyushya,750.0
2026-07-01,Eastern,Ngoma,beans,Shyushya,750.0
2026-06-01,Eastern,Nyagatare,beans,Colta,700.0
2026-06-01,Eastern,Nyagatare,beans,Kiryumukwe,700.0
2026-06-01,Eastern,Nyagatare,beans,Shyushya,700.0
2026-06-01,Southern,Nyamagabe,beans,Ibinyarwanda,750.0
2026-06-01,Southern,Nyamagabe,beans,Mushingiriro,800.0
2026-06-01,Kigali City,Nyarugenge,beans,Colta,950.0
2026-07-01,Kigali City,Nyarugenge,beans,Colta,1000.0
2026-06-01,Kigali City,Nyarugenge,beans,Ibinyarwanda,675.0
2026-07-01,Kigali City,Nyarugenge,beans,Ibinyarwanda,600.0
2026-06-01,Kigali City,Nyarugenge,beans,Injyamane,1225.0
2026-07-01,Kigali City,Nyarugenge,beans,Injyamane,1200.0
2026-06-01,Kigali City,Nyarugenge,beans,Mushingiriro,925.0
2026-06-01,Kigali City,Nyarugenge,beans,Mutiki,825.0
2026-07-01,Kigali City,Nyarugenge,beans,Mutiki,800.0
2026-06-01,Kigali City,Nyarugenge,beans,Shyushya,700.0
2026-07-01,Kigali City,Nyarugenge,beans,Shyushya,775.0
2026-07-01,Southern,Ruhango,beans,Shyushya,900.0
2026-06-01,Western,Rusizi,beans,Colta,970.0
2026-06-01,Western,Rusizi,beans,Ibinyarwanda,775.0
2026-07-01,Western,Rusizi,beans,Ibinyarwanda,900.0
2026-06-01,Western,Rusizi,beans,Kiryumukwe,970.0
2026-07-01,Western,Rusizi,beans,Kiryumukwe,1000.0
2026-06-01,Western,Rusizi,beans,Mushingiriro,900.0
2026-07-01,Western,Rusizi,beans,Mushingiriro,1000.0
2026-07-01,Western,Rusizi,beans,Mutiki,1000.0
2026-06-01,Western,Rusizi,beans,Shyushya,750.0
2026-06-01,Western,Rutsiro,beans,Ibinyarwanda,950.0
2026-07-01,Western,Rutsiro,beans,Ibinyarwanda,800.0
2026-06-01,Western,Rutsiro,beans,Kiryumukwe,950.0
2026-07-01,Western,Rutsiro,beans,Kiryumukwe,800.0
2026-06-01,Western,Rutsiro,beans,Mushingiriro,950.0
2026-07-01,Western,Rutsiro,beans,Mushingiriro,800.0
2026-07-01,Western,Rutsiro,beans,Mutiki,800.0
2026-06-01,Western,Rutsiro,beans,Shyushya,1100.0
2026-07-01,Western,Rutsiro,beans,Shyushya,800.0
2026-06-01,Eastern,Rwamagana,beans,Ibinyarwanda,800.0
2026-07-01,Eastern,Rwamagana,beans,Ibinyarwanda,800.0
2026-06-01,Eastern,Rwamagana,beans,Kiryumukwe,800.0
2026-07-01,Eastern,Rwamagana,beans,Kiryumukwe,800.0
2026-06-01,Eastern,Rwamagana,beans,Mutiki,900.0
2026-07-01,Eastern,Rwamagana,beans,Mutiki,900.0
2026-06-01,Eastern,Rwamagana,beans,Shyushya,900.0
2026-07-01,Eastern,Rwamagana,beans,Shyushya,900.0
2026-06-01,Northern,Burera,maize,Grain,500.0
2026-06-01,Northern,Gicumbi,maize,Grain,500.0
2026-06-01,Southern,Huye,maize,Grain,400.0
2026-07-01,Southern,Huye,maize,Grain,400.0
2026-06-01,Western,Karongi,maize,Grain,425.0
2026-07-01,Western,Karongi,maize,Grain,446.0
2026-06-01,Eastern,Kirehe,maize,Grain,500.0
2026-06-01,Northern,Musanze,maize,Grain,470.0
2026-06-01,Eastern,Ngoma,maize,Grain,470.0
2026-06-01,Eastern,Nyagatare,maize,Grain,400.0
2026-07-01,Eastern,Nyagatare,maize,Grain,400.0
2026-06-01,Southern,Nyamagabe,maize,Grain,400.0
2026-06-01,Kigali City,Nyarugenge,maize,Grain,400.0
2026-07-01,Kigali City,Nyarugenge,maize,Grain,400.0
2026-07-01,Western,Rusizi,maize,Grain,450.0
2026-07-01,Western,Rutsiro,maize,Grain,550.0
2026-06-01,Eastern,Rwamagana,maize,Grain,400.0
2026-07-01,Eastern,Rwamagana,maize,Grain,400.0
