"#","Product Name","Product Name En","Markets","Date","Farmgate Price","Wholesale Price","Retail Price","Province","District"
"1","Amasaka","Amasaka","kamembe","Mon Jun 22 2026 13:28:47 GMT+0200 (South Africa Standard Time)","800","850","900","",""
"2","Ibishyimbo Ibinyarwanda","Ibishyimbo Ibinyarwanda","kamembe","Mon Jun 22 2026 13:26:38 GMT+0200 (South Africa Standard Time)","750","800","850","",""
"3","Ibishyimbo Colta","Ibishyimbo Colta","kamembe","Mon Jun 22 2026 13:22:26 GMT+0200 (South Africa Standard Time)","970","1030","1100","",""
"4","Ibishyimbo Kiryumukwe","Ibishyimbo Kiryumukwe","kamembe","Mon Jun 22 2026 13:14:25 GMT+0200 (South Africa Standard Time)","970","1030","1100","",""
"5","Inyama-inka- Iroti","Inyama-inka- Iroti","kamembe","Mon Jun 22 2026 13:09:01 GMT+0200 (South Africa Standard Time)","6800","7100","7500","",""
"6","inyama-inka-imvange","inyama-inka-imvange","kamembe","Mon Jun 22 2026 13:04:35 GMT+0200 (South Africa Standard Time)","6300","6700","7000","",""
"7","Inyama - Inkoko - rwanda","Inyama - Inkoko - rwanda","kamembe","Mon Jun 22 2026 13:03:09 GMT+0200 (South Africa Standard Time)","7000","7500","8000","",""
"8","inyama - inkoko - pondezi","inyama - inkoko - pondezi","kamembe","Mon Jun 22 2026 12:59:15 GMT+0200 (South Africa Standard Time)","4800","5100","5500","",""
"9","Ifu - Ibigori - Iraboneye","Ifu - Ibigori - Iraboneye","kamembe","Mon Jun 22 2026 12:58:29 GMT+0200 (South Africa Standard Time)","780","880","1000","",""
"10","Ifu - Ibigori - MINIMEX","Ifu - Ibigori - MINIMEX","kamembe","Mon Jun 22 2026 12:57:04 GMT+0200 (South Africa Standard Time)","780","880","1000","",""
"11","Ifu - Ibigori - Mugurusu","Ifu - Ibigori - Mugurusu","kamembe","Mon Jun 22 2026 12:56:28 GMT+0200 (South Africa Standard Time)","1000","1080","1200","",""
"12","Ifu - Ibigori - Gashumba","Ifu - Ibigori - Gashumba","kamembe","Mon Jun 22 2026 12:54:30 GMT+0200 (South Africa Standard Time)","1000","1080","1200","",""
"13","Ifu-amasaka","Ifu-amasaka","kamembe","Mon Jun 22 2026 12:51:36 GMT+0200 (South Africa Standard Time)","1116","1000","227","",""
"14","Umuceri - RW - Kigori","Umuceri - RW - Kigori","kamembe","Mon Jun 22 2026 12:49:38 GMT+0200 (South Africa Standard Time)","1033","1000","227","",""
"15","igi - irinyaRwanda","igi - irinyaRwanda","kamembe","Mon Jun 22 2026 12:45:57 GMT+0200 (South Africa Standard Time)","200","230","270","",""
"16","Igi- Pondeze","Igi- Pondeze","kamembe","Mon Jun 22 2026 12:47:51 GMT+0200 (South Africa Standard Time)","140","170","200","",""
"17","Umuceri - Tz No 2","Umuceri - Tz No 2","kamembe","Mon Jun 22 2026 12:44:04 GMT+0200 (South Africa Standard Time)","1350","1450","600","",""
"18","Amateke","Amateke","kamembe","Mon Jun 22 2026 12:42:01 GMT+0200 (South Africa Standard Time)","400","500","600","",""
"19","ibirayi - Kirundo","ibirayi - Kirundo","kamembe","Mon Jun 22 2026 12:40:13 GMT+0200 (South Africa Standard Time)","700","750","800","",""
"20","Isukari","Isukari","kamembe","Mon Jun 22 2026 12:38:51 GMT+0200 (South Africa Standard Time)","1620","1700","1800","",""
"21","Amavuta ubuto","Amavuta ubuto","kamembe","Mon Jun 22 2026 12:37:48 GMT+0200 (South Africa Standard Time)","3100","3250","3400","",""
"22","Amavuta - Amamesa","Amavuta - Amamesa","kamembe","Mon Jun 22 2026 12:36:15 GMT+0200 (South Africa Standard Time)","3000","3150","3400","",""
"23","Gaz","Gaz","kamembe","Mon Jun 22 2026 12:34:58 GMT+0200 (South Africa Standard Time)","1700","1800","2000","",""
