date,fert_index
2015-01-01,98.77
2015-02-01,100.37
2015-03-01,100.56
2015-04-01,102.08
2015-05-01,101.6
2015-06-01,101.18
2015-07-01,102.66
2015-08-01,99.62
2015-09-01,100.43
2015-10-01,100.24
2015-11-01,101.03
2015-12-01,100.0
2016-01-01,102.56
2016-02-01,101.68
2016-03-01,100.34
2016-04-01,101.03
2016-05-01,102.78
2016-06-01,103.56
2016-07-01,105.1
2016-08-01,106.35
2016-09-01,103.5
2016-10-01,101.96
2016-11-01,100.74
2016-12-01,103.77
2017-01-01,102.62
2017-02-01,103.25
2017-03-01,103.17
2017-04-01,103.88
2017-05-01,105.48
2017-06-01,104.54
2017-07-01,104.31
2017-08-01,103.41
2017-09-01,102.79
2017-10-01,104.37
2017-11-01,105.04
2017-12-01,107.37
2018-01-01,105.56
2018-02-01,106.73
2018-03-01,105.1
2018-04-01,104.43
2018-05-01,104.84
2018-06-01,105.28
2018-07-01,108.85
2018-08-01,105.46
2018-09-01,107.61
2018-10-01,105.67
2018-11-01,108.02
2018-12-01,107.51
2019-01-01,107.01
2019-02-01,107.3
2019-03-01,106.72
2019-04-01,108.19
2019-05-01,107.26
2019-06-01,106.49
2019-07-01,106.58
2019-08-01,108.48
2019-09-01,110.33
2019-10-01,108.79
2019-11-01,108.64
2019-12-01,109.32
2020-01-01,110.76
2020-02-01,109.71
2020-03-01,109.26
2020-04-01,111.45
2020-05-01,111.09
2020-06-01,112.99
2020-07-01,112.08
2020-08-01,111.3
2020-09-01,112.25
2020-10-01,117.28
2020-11-01,119.08
2020-12-01,118.87
2021-01-01,121.08
2021-02-01,126.15
2021-03-01,126.34
2021-04-01,130.24
2021-05-01,136.07
2021-06-01,139.08
2021-07-01,143.96
2021-08-01,148.22
2021-09-01,153.15
2021-10-01,158.5
2021-11-01,160.54
2021-12-01,164.25
2022-01-01,163.34
2022-02-01,167.24
2022-03-01,166.89
2022-04-01,166.13
2022-05-01,165.34
2022-06-01,163.97
2022-07-01,162.73
2022-08-01,156.71
2022-09-01,154.58
2022-10-01,149.93
2022-11-01,145.97
2022-12-01,143.46
2023-01-01,138.95
2023-02-01,136.22
2023-03-01,131.08
2023-04-01,127.47
2023-05-01,125.47
2023-06-01,123.88
2023-07-01,122.03
2023-08-01,119.1
2023-09-01,119.4
2023-10-01,118.74
2023-11-01,120.88
2023-12-01,119.7
2024-01-01,116.15
2024-02-01,116.67
2024-03-01,115.2
2024-04-01,116.24
2024-05-01,117.38
2024-06-01,118.52
2024-07-01,116.31
2024-08-01,116.51
2024-09-01,114.85
2024-10-01,117.37
2024-11-01,116.44
2024-12-01,117.22
