date,food_cpi
2015-01-01,100.18
2015-02-01,99.68
2015-03-01,101.05
2015-04-01,101.46
2015-05-01,100.03
2015-06-01,100.72
2015-07-01,101.88
2015-08-01,101.91
2015-09-01,102.39
2015-10-01,102.19
2015-11-01,103.53
2015-12-01,103.77
2016-01-01,103.64
2016-02-01,104.58
2016-03-01,104.48
2016-04-01,103.98
2016-05-01,105.02
2016-06-01,104.52
2016-07-01,105.93
2016-08-01,105.67
2016-09-01,105.89
2016-10-01,105.89
2016-11-01,107.33
2016-12-01,106.81
2017-01-01,106.94
2017-02-01,107.29
2017-03-01,108.12
2017-04-01,108.32
2017-05-01,108.65
2017-06-01,108.96
2017-07-01,110.28
2017-08-01,109.06
2017-09-01,109.29
2017-10-01,109.41
2017-11-01,110.57
2017-12-01,111.18
2018-01-01,110.73
2018-02-01,110.6
2018-03-01,110.91
2018-04-01,112.09
2018-05-01,112.45
2018-06-01,112.63
2018-07-01,112.2
2018-08-01,113.04
2018-09-01,113.27
2018-10-01,113.63
2018-11-01,114.32
2018-12-01,114.23
2019-01-01,114.81
2019-02-01,114.74
2019-03-01,115.17
2019-04-01,115.68
2019-05-01,114.73
2019-06-01,115.71
2019-07-01,115.92
2019-08-01,116.12
2019-09-01,116.63
2019-10-01,118.0
2019-11-01,116.88
2019-12-01,118.28
2020-01-01,116.99
2020-02-01,118.1
2020-03-01,118.7
2020-04-01,119.25
2020-05-01,119.63
2020-06-01,119.98
2020-07-01,119.59
2020-08-01,119.83
2020-09-01,120.92
2020-10-01,120.6
2020-11-01,120.26
2020-12-01,120.67
2021-01-01,121.13
2021-02-01,122.35
2021-03-01,122.54
2021-04-01,123.33
2021-05-01,123.21
2021-06-01,124.24
2021-07-01,125.36
2021-08-01,125.84
2021-09-01,127.6
2021-10-01,128.52
2021-11-01,130.61
2021-12-01,132.84
2022-01-01,134.9
2022-02-01,138.7
2022-03-01,141.06
2022-04-01,144.3
2022-05-01,147.38
2022-06-01,149.83
2022-07-01,151.96
2022-08-01,152.87
2022-09-01,153.35
2022-10-01,153.48
2022-11-01,151.74
2022-12-01,150.49
2023-01-01,148.69
2023-02-01,146.69
2023-03-01,145.19
2023-04-01,142.07
2023-05-01,140.19
2023-06-01,139.25
2023-07-01,136.62
2023-08-01,135.96
2023-09-01,133.96
2023-10-01,133.7
2023-11-01,132.81
2023-12-01,132.94
2024-01-01,133.58
2024-02-01,132.08
2024-03-01,133.51
2024-04-01,133.59
2024-05-01,133.33
2024-06-01,133.08
2024-07-01,134.27
2024-08-01,134.2
2024-09-01,134.95
2024-10-01,135.12
2024-11-01,136.36
2024-12-01,135.56
