date,market,crop,price_rwf
2018-01-07,Nyarugenge,maize,326.0
2018-01-14,Nyarugenge,maize,341.0
2018-01-21,Nyarugenge,maize,311.0
2018-01-28,Nyarugenge,maize,319.0
2018-02-04,Nyarugenge,maize,391.0
2018-02-11,Nyarugenge,maize,330.0
2018-02-18,Nyarugenge,maize,339.0
2018-02-25,Nyarugenge,maize,401.0
2018-03-04,Nyarugenge,maize,429.0
2018-03-11,Nyarugenge,maize,391.0
2018-03-18,Nyarugenge,maize,415.0
2018-03-25,Nyarugenge,maize,436.0
2018-04-01,Nyarugenge,maize,474.0
2018-04-08,Nyarugenge,maize,431.0
2018-04-15,Nyarugenge,maize,452.0
2018-04-22,Nyarugenge,maize,478.0
2018-04-29,Nyarugenge,maize,477.0
2018-05-06,Nyarugenge,maize,468.0
2018-05-13,Nyarugenge,maize,477.0
2018-05-20,Nyarugenge,maize,457.0
2018-05-27,Nyarugenge,maize,481.0
2018-06-03,Nyarugenge,maize,483.0
2018-06-10,Nyarugenge,maize,493.0
2018-06-17,Nyarugenge,maize,477.0
2018-06-24,Nyarugenge,maize,495.0
2018-07-01,Nyarugenge,maize,502.0
2018-07-08,Nyarugenge,maize,482.0
2018-07-15,Nyarugenge,maize,481.0
2018-07-22,Nyarugenge,maize,470.0
2018-07-29,Nyarugenge,maize,464.0
2018-08-05,Nyarugenge,maize,446.0
2018-08-12,Nyarugenge,maize,458.0
2018-08-19,Nyarugenge,maize,443.0
2018-08-26,Nyarugenge,maize,476.0
2018-09-02,Nyarugenge,maize,459.0
2018-09-09,Nyarugenge,maize,428.0
2018-09-16,Nyarugenge,maize,397.0
2018-09-23,Nyarugenge,maize,382.0
2018-09-30,Nyarugenge,maize,418.0
2018-10-07,Nyarugenge,maize,394.0
2018-10-14,Nyarugenge,maize,391.0
2018-10-21,Nyarugenge,maize,342.0
2018-10-28,Nyarugenge,maize,387.0
2018-11-04,Nyarugenge,maize,375.0
2018-11-11,Nyarugenge,maize,340.0
2018-11-18,Nyarugenge,maize,349.0
2018-11-25,Nyarugenge,maize,361.0
2018-12-02,Nyarugenge,maize,355.0
2018-12-09,Nyarugenge,maize,348.0
2018-12-16,Nyarugenge,maize,352.0
2018-12-23,Nyarugenge,maize,351.0
2018-12-30,Nyarugenge,maize,361.0
2019-01-06,Nyarugenge,maize,383.0
2019-01-13,Nyarugenge,maize,307.0
2019-01-20,Nyarugenge,maize,353.0
2019-01-27,Nyarugenge,maize,363.0
2019-02-03,Nyarugenge,maize,368.0
2019-02-10,Nyarugenge,maize,360.0
2019-02-17,Nyarugenge,maize,339.0
2019-02-24,Nyarugenge,maize,385.0
2019-03-03,Nyarugenge,maize,419.0
2019-03-10,Nyarugenge,maize,397.0
2019-03-17,Nyarugenge,maize,451.0
2019-03-24,Nyarugenge,maize,437.0
2019-03-31,Nyarugenge,maize,450.0
2019-04-07,Nyarugenge,maize,440.0
2019-04-14,Nyarugenge,maize,461.0
2019-04-21,Nyarugenge,maize,499.0
2019-04-28,Nyarugenge,maize,491.0
2019-05-05,Nyarugenge,maize,515.0
2019-05-12,Nyarugenge,maize,509.0
2019-05-19,Nyarugenge,maize,499.0
2019-05-26,Nyarugenge,maize,526.0
2019-06-02,Nyarugenge,maize,506.0
2019-06-09,Nyarugenge,maize,513.0
2019-06-16,Nyarugenge,maize,492.0
2019-06-23,Nyarugenge,maize,497.0
2019-06-30,Nyarugenge,maize,480.0
2019-07-07,Nyarugenge,maize,509.0
2019-07-14,Nyarugenge,maize,464.0
2019-07-21,Nyarugenge,maize,496.0
2019-07-28,Nyarugenge,maize,471.0
2019-08-04,Nyarugenge,maize,491.0
2019-08-11,Nyarugenge,maize,476.0
2019-08-18,Nyarugenge,maize,488.0
2019-08-25,Nyarugenge,maize,460.0
2019-09-01,Nyarugenge,maize,409.0
2019-09-08,Nyarugenge,maize,429.0
2019-09-15,Nyarugenge,maize,400.0
2019-09-22,Nyarugenge,maize,404.0
2019-09-29,Nyarugenge,maize,434.0
2019-10-06,Nyarugenge,maize,414.0
2019-10-13,Nyarugenge,maize,382.0
2019-10-20,Nyarugenge,maize,369.0
2019-10-27,Nyarugenge,maize,383.0
2019-11-03,Nyarugenge,maize,351.0
2019-11-10,Nyarugenge,maize,357.0
2019-11-17,Nyarugenge,maize,372.0
2019-11-24,Nyarugenge,maize,385.0
2019-12-01,Nyarugenge,maize,378.0
2019-12-08,Nyarugenge,maize,322.0
2019-12-15,Nyarugenge,maize,372.0
2019-12-22,Nyarugenge,maize,369.0
2019-12-29,Nyarugenge,maize,378.0
2020-01-05,Nyarugenge,maize,392.0
2020-01-12,Nyarugenge,maize,323.0
2020-01-19,Nyarugenge,maize,352.0
2020-01-26,Nyarugenge,maize,377.0
2020-02-02,Nyarugenge,maize,343.0
2020-02-09,Nyarugenge,maize,405.0
2020-02-16,Nyarugenge,maize,390.0
2020-02-23,Nyarugenge,maize,405.0
2020-03-01,Nyarugenge,maize,386.0
2020-03-08,Nyarugenge,maize,452.0
2020-03-15,Nyarugenge,maize,466.0
2020-03-22,Nyarugenge,maize,458.0
2020-03-29,Nyarugenge,maize,466.0
2020-04-05,Nyarugenge,maize,476.0
2020-04-12,Nyarugenge,maize,462.0
2020-04-19,Nyarugenge,maize,482.0
2020-04-26,Nyarugenge,maize,488.0
2020-05-03,Nyarugenge,maize,505.0
2020-05-10,Nyarugenge,maize,521.0
2020-05-17,Nyarugenge,maize,485.0
2020-05-24,Nyarugenge,maize,505.0
2020-05-31,Nyarugenge,maize,537.0
2020-06-07,Nyarugenge,maize,497.0
2020-06-14,Nyarugenge,maize,495.0
2020-06-21,Nyarugenge,maize,513.0
2020-06-28,Nyarugenge,maize,522.0
2020-07-05,Nyarugenge,maize,502.0
2020-07-12,Nyarugenge,maize,522.0
2020-07-19,Nyarugenge,maize,508.0
2020-07-26,Nyarugenge,maize,502.0
2020-08-02,Nyarugenge,maize,491.0
2020-08-09,Nyarugenge,maize,517.0
2020-08-16,Nyarugenge,maize,461.0
2020-08-23,Nyarugenge,maize,419.0
2020-08-30,Nyarugenge,maize,479.0
2020-09-06,Nyarugenge,maize,435.0
2020-09-13,Nyarugenge,maize,437.0
2020-09-20,Nyarugenge,maize,452.0
2020-09-27,Nyarugenge,maize,388.0
2020-10-04,Nyarugenge,maize,386.0
2020-10-11,Nyarugenge,maize,372.0
2020-10-18,Nyarugenge,maize,381.0
2020-10-25,Nyarugenge,maize,399.0
2020-11-01,Nyarugenge,maize,394.0
2020-11-08,Nyarugenge,maize,385.0
2020-11-15,Nyarugenge,maize,349.0
2020-11-22,Nyarugenge,maize,330.0
2020-11-29,Nyarugenge,maize,373.0
2020-12-06,Nyarugenge,maize,364.0
2020-12-13,Nyarugenge,maize,382.0
2020-12-20,Nyarugenge,maize,388.0
2020-12-27,Nyarugenge,maize,380.0
2021-01-03,Nyarugenge,maize,397.0
2021-01-10,Nyarugenge,maize,379.0
2021-01-17,Nyarugenge,maize,385.0
2021-01-24,Nyarugenge,maize,363.0
2021-01-31,Nyarugenge,maize,375.0
2021-02-07,Nyarugenge,maize,390.0
2021-02-14,Nyarugenge,maize,406.0
2021-02-21,Nyarugenge,maize,388.0
2021-02-28,Nyarugenge,maize,411.0
2021-03-07,Nyarugenge,maize,404.0
2021-03-14,Nyarugenge,maize,446.0
2021-03-21,Nyarugenge,maize,473.0
2021-03-28,Nyarugenge,maize,427.0
2021-04-04,Nyarugenge,maize,451.0
2021-04-11,Nyarugenge,maize,455.0
2021-04-18,Nyarugenge,maize,446.0
2021-04-25,Nyarugenge,maize,484.0
2021-05-02,Nyarugenge,maize,517.0
2021-05-09,Nyarugenge,maize,503.0
2021-05-16,Nyarugenge,maize,516.0
2021-05-23,Nyarugenge,maize,537.0
2021-05-30,Nyarugenge,maize,544.0
2021-06-06,Nyarugenge,maize,522.0
2021-06-13,Nyarugenge,maize,549.0
2021-06-20,Nyarugenge,maize,525.0
2021-06-27,Nyarugenge,maize,506.0
2021-07-04,Nyarugenge,maize,511.0
2021-07-11,Nyarugenge,maize,491.0
2021-07-18,Nyarugenge,maize,498.0
2021-07-25,Nyarugenge,maize,503.0
2021-08-01,Nyarugenge,maize,520.0
2021-08-08,Nyarugenge,maize,531.0
2021-08-15,Nyarugenge,maize,465.0
2021-08-22,Nyarugenge,maize,491.0
2021-08-29,Nyarugenge,maize,456.0
2021-09-05,Nyarugenge,maize,481.0
2021-09-12,Nyarugenge,maize,461.0
2021-09-19,Nyarugenge,maize,421.0
2021-09-26,Nyarugenge,maize,465.0
2021-10-03,Nyarugenge,maize,430.0
2021-10-10,Nyarugenge,maize,424.0
2021-10-17,Nyarugenge,maize,407.0
2021-10-24,Nyarugenge,maize,408.0
2021-10-31,Nyarugenge,maize,422.0
2021-11-07,Nyarugenge,maize,412.0
2021-11-14,Nyarugenge,maize,417.0
2021-11-21,Nyarugenge,maize,414.0
2021-11-28,Nyarugenge,maize,430.0
2021-12-05,Nyarugenge,maize,404.0
2021-12-12,Nyarugenge,maize,382.0
2021-12-19,Nyarugenge,maize,431.0
2021-12-26,Nyarugenge,maize,406.0
2022-01-02,Nyarugenge,maize,442.0
2022-01-09,Nyarugenge,maize,423.0
2022-01-16,Nyarugenge,maize,414.0
2022-01-23,Nyarugenge,maize,425.0
2022-01-30,Nyarugenge,maize,458.0
2022-02-06,Nyarugenge,maize,475.0
2022-02-13,Nyarugenge,maize,441.0
2022-02-20,Nyarugenge,maize,448.0
2022-02-27,Nyarugenge,maize,472.0
2022-03-06,Nyarugenge,maize,449.0
2022-03-13,Nyarugenge,maize,511.0
2022-03-20,Nyarugenge,maize,513.0
2022-03-27,Nyarugenge,maize,528.0
2022-04-03,Nyarugenge,maize,524.0
2022-04-10,Nyarugenge,maize,517.0
2022-04-17,Nyarugenge,maize,515.0
2022-04-24,Nyarugenge,maize,540.0
2022-05-01,Nyarugenge,maize,568.0
2022-05-08,Nyarugenge,maize,576.0
2022-05-15,Nyarugenge,maize,623.0
2022-05-22,Nyarugenge,maize,611.0
2022-05-29,Nyarugenge,maize,574.0
2022-06-05,Nyarugenge,maize,608.0
2022-06-12,Nyarugenge,maize,594.0
2022-06-19,Nyarugenge,maize,596.0
2022-06-26,Nyarugenge,maize,603.0
2022-07-03,Nyarugenge,maize,615.0
2022-07-10,Nyarugenge,maize,593.0
2022-07-17,Nyarugenge,maize,616.0
2022-07-24,Nyarugenge,maize,569.0
2022-07-31,Nyarugenge,maize,584.0
2022-08-07,Nyarugenge,maize,630.0
2022-08-14,Nyarugenge,maize,577.0
2022-08-21,Nyarugenge,maize,593.0
2022-08-28,Nyarugenge,maize,559.0
2022-09-04,Nyarugenge,maize,562.0
2022-09-11,Nyarugenge,maize,541.0
2022-09-18,Nyarugenge,maize,531.0
2022-09-25,Nyarugenge,maize,511.0
2022-10-02,Nyarugenge,maize,526.0
2022-10-09,Nyarugenge,maize,494.0
2022-10-16,Nyarugenge,maize,515.0
2022-10-23,Nyarugenge,maize,517.0
2022-10-30,Nyarugenge,maize,497.0
2022-11-06,Nyarugenge,maize,474.0
2022-11-13,Nyarugenge,maize,484.0
2022-11-20,Nyarugenge,maize,466.0
2022-11-27,Nyarugenge,maize,487.0
2022-12-04,Nyarugenge,maize,429.0
2022-12-11,Nyarugenge,maize,457.0
2022-12-18,Nyarugenge,maize,426.0
2022-12-25,Nyarugenge,maize,437.0
2023-01-01,Nyarugenge,maize,488.0
2023-01-08,Nyarugenge,maize,475.0
2023-01-15,Nyarugenge,maize,445.0
2023-01-22,Nyarugenge,maize,432.0
2023-01-29,Nyarugenge,maize,406.0
2023-02-05,Nyarugenge,maize,450.0
2023-02-12,Nyarugenge,maize,510.0
2023-02-19,Nyarugenge,maize,478.0
2023-02-26,Nyarugenge,maize,465.0
2023-03-05,Nyarugenge,maize,486.0
2023-03-12,Nyarugenge,maize,488.0
2023-03-19,Nyarugenge,maize,520.0
2023-03-26,Nyarugenge,maize,536.0
2023-04-02,Nyarugenge,maize,531.0
2023-04-09,Nyarugenge,maize,555.0
2023-04-16,Nyarugenge,maize,554.0
2023-04-23,Nyarugenge,maize,567.0
2023-04-30,Nyarugenge,maize,547.0
2023-05-07,Nyarugenge,maize,577.0
2023-05-14,Nyarugenge,maize,595.0
2023-05-21,Nyarugenge,maize,549.0
2023-05-28,Nyarugenge,maize,553.0
2023-06-04,Nyarugenge,maize,594.0
2023-06-11,Nyarugenge,maize,566.0
2023-06-18,Nyarugenge,maize,595.0
2023-06-25,Nyarugenge,maize,559.0
2023-07-02,Nyarugenge,maize,584.0
2023-07-09,Nyarugenge,maize,556.0
2023-07-16,Nyarugenge,maize,554.0
2023-07-23,Nyarugenge,maize,573.0
2023-07-30,Nyarugenge,maize,531.0
2023-08-06,Nyarugenge,maize,511.0
2023-08-13,Nyarugenge,maize,513.0
2023-08-20,Nyarugenge,maize,523.0
2023-08-27,Nyarugenge,maize,476.0
2023-09-03,Nyarugenge,maize,504.0
2023-09-10,Nyarugenge,maize,473.0
2023-09-17,Nyarugenge,maize,497.0
2023-09-24,Nyarugenge,maize,421.0
2023-10-01,Nyarugenge,maize,443.0
2023-10-08,Nyarugenge,maize,418.0
2023-10-15,Nyarugenge,maize,427.0
2023-10-22,Nyarugenge,maize,441.0
2023-10-29,Nyarugenge,maize,427.0
2023-11-05,Nyarugenge,maize,417.0
2023-11-12,Nyarugenge,maize,415.0
2023-11-19,Nyarugenge,maize,418.0
2023-11-26,Nyarugenge,maize,393.0
2023-12-03,Nyarugenge,maize,424.0
2023-12-10,Nyarugenge,maize,423.0
2023-12-17,Nyarugenge,maize,418.0
2023-12-24,Nyarugenge,maize,423.0
2023-12-31,Nyarugenge,maize,420.0
2024-01-07,Nyarugenge,maize,451.0
2024-01-14,Nyarugenge,maize,411.0
2024-01-21,Nyarugenge,maize,408.0
2024-01-28,Nyarugenge,maize,402.0
2024-02-04,Nyarugenge,maize,396.0
2024-02-11,Nyarugenge,maize,396.0
2024-02-18,Nyarugenge,maize,408.0
2024-02-25,Nyarugenge,maize,430.0
2024-03-03,Nyarugenge,maize,448.0
2024-03-10,Nyarugenge,maize,483.0
2024-03-17,Nyarugenge,maize,476.0
2024-03-24,Nyarugenge,maize,516.0
2024-03-31,Nyarugenge,maize,521.0
2024-04-07,Nyarugenge,maize,512.0
2024-04-14,Nyarugenge,maize,509.0
2024-04-21,Nyarugenge,maize,539.0
2024-04-28,Nyarugenge,maize,538.0
2024-05-05,Nyarugenge,maize,511.0
2024-05-12,Nyarugenge,maize,542.0
2024-05-19,Nyarugenge,maize,552.0
2024-05-26,Nyarugenge,maize,532.0
2024-06-02,Nyarugenge,maize,554.0
2024-06-09,Nyarugenge,maize,523.0
2024-06-16,Nyarugenge,maize,575.0
2024-06-23,Nyarugenge,maize,572.0
2024-06-30,Nyarugenge,maize,541.0
2024-07-07,Nyarugenge,maize,553.0
2024-07-14,Nyarugenge,maize,496.0
2024-07-21,Nyarugenge,maize,515.0
2024-07-28,Nyarugenge,maize,525.0
2024-08-04,Nyarugenge,maize,503.0
2024-08-11,Nyarugenge,maize,530.0
2024-08-18,Nyarugenge,maize,547.0
2024-08-25,Nyarugenge,maize,478.0
2024-09-01,Nyarugenge,maize,479.0
2024-09-08,Nyarugenge,maize,491.0
2024-09-15,Nyarugenge,maize,508.0
2024-09-22,Nyarugenge,maize,446.0
2024-09-29,Nyarugenge,maize,466.0
2024-10-06,Nyarugenge,maize,489.0
2024-10-13,Nyarugenge,maize,416.0
2024-10-20,Nyarugenge,maize,416.0
2024-10-27,Nyarugenge,maize,426.0
2024-11-03,Nyarugenge,maize,423.0
2024-11-10,Nyarugenge,maize,444.0
2024-11-17,Nyarugenge,maize,430.0
2024-11-24,Nyarugenge,maize,389.0
2024-12-01,Nyarugenge,maize,428.0
2024-12-08,Nyarugenge,maize,407.0
2024-12-15,Nyarugenge,maize,443.0
2024-12-22,Nyarugenge,maize,408.0
2024-12-29,Nyarugenge,maize,411.0
2018-01-07,Gasabo,maize,353.0
2018-01-14,Gasabo,maize,358.0
2018-01-21,Gasabo,maize,353.0
2018-01-28,Gasabo,maize,315.0
2018-02-04,Gasabo,maize,360.0
2018-02-11,Gasabo,maize,335.0
2018-02-18,Gasabo,maize,364.0
2018-02-25,Gasabo,maize,339.0
2018-03-04,Gasabo,maize,382.0
2018-03-11,Gasabo,maize,398.0
2018-03-18,Gasabo,maize,397.0
2018-03-25,Gasabo,maize,443.0
2018-04-01,Gasabo,maize,446.0
2018-04-08,Gasabo,maize,438.0
2018-04-15,Gasabo,maize,484.0
2018-04-22,Gasabo,maize,455.0
2018-04-29,Gasabo,maize,470.0
2018-05-06,Gasabo,maize,481.0
2018-05-13,Gasabo,maize,468.0
2018-05-20,Gasabo,maize,492.0
2018-05-27,Gasabo,maize,476.0
2018-06-03,Gasabo,maize,480.0
2018-06-10,Gasabo,maize,514.0
2018-06-17,Gasabo,maize,468.0
2018-06-24,Gasabo,maize,441.0
2018-07-01,Gasabo,maize,513.0
2018-07-08,Gasabo,maize,528.0
2018-07-15,Gasabo,maize,467.0
2018-07-22,Gasabo,maize,433.0
2018-07-29,Gasabo,maize,458.0
2018-08-05,Gasabo,maize,454.0
2018-08-12,Gasabo,maize,449.0
2018-08-19,Gasabo,maize,423.0
2018-08-26,Gasabo,maize,447.0
2018-09-02,Gasabo,maize,439.0
2018-09-09,Gasabo,maize,392.0
2018-09-16,Gasabo,maize,425.0
2018-09-23,Gasabo,maize,443.0
2018-09-30,Gasabo,maize,399.0
2018-10-07,Gasabo,maize,382.0
2018-10-14,Gasabo,maize,379.0
2018-10-21,Gasabo,maize,387.0
2018-10-28,Gasabo,maize,336.0
2018-11-04,Gasabo,maize,369.0
2018-11-11,Gasabo,maize,354.0
2018-11-18,Gasabo,maize,393.0
2018-11-25,Gasabo,maize,352.0
2018-12-02,Gasabo,maize,385.0
2018-12-09,Gasabo,maize,332.0
2018-12-16,Gasabo,maize,365.0
2018-12-23,Gasabo,maize,361.0
2018-12-30,Gasabo,maize,341.0
2019-01-06,Gasabo,maize,358.0
2019-01-13,Gasabo,maize,379.0
2019-01-20,Gasabo,maize,351.0
2019-01-27,Gasabo,maize,327.0
2019-02-03,Gasabo,maize,362.0
2019-02-10,Gasabo,maize,350.0
2019-02-17,Gasabo,maize,366.0
2019-02-24,Gasabo,maize,377.0
2019-03-03,Gasabo,maize,354.0
2019-03-10,Gasabo,maize,395.0
2019-03-17,Gasabo,maize,444.0
2019-03-24,Gasabo,maize,433.0
2019-03-31,Gasabo,maize,402.0
2019-04-07,Gasabo,maize,475.0
2019-04-14,Gasabo,maize,473.0
2019-04-21,Gasabo,maize,461.0
2019-04-28,Gasabo,maize,455.0
2019-05-05,Gasabo,maize,498.0
2019-05-12,Gasabo,maize,493.0
2019-05-19,Gasabo,maize,535.0
2019-05-26,Gasabo,maize,501.0
2019-06-02,Gasabo,maize,505.0
2019-06-09,Gasabo,maize,495.0
2019-06-16,Gasabo,maize,513.0
2019-06-23,Gasabo,maize,508.0
2019-06-30,Gasabo,maize,517.0
2019-07-07,Gasabo,maize,480.0
2019-07-14,Gasabo,maize,478.0
2019-07-21,Gasabo,maize,472.0
2019-07-28,Gasabo,maize,490.0
2019-08-04,Gasabo,maize,497.0
2019-08-11,Gasabo,maize,453.0
2019-08-18,Gasabo,maize,446.0
2019-08-25,Gasabo,maize,452.0
2019-09-01,Gasabo,maize,434.0
2019-09-08,Gasabo,maize,449.0
2019-09-15,Gasabo,maize,379.0
2019-09-22,Gasabo,maize,398.0
2019-09-29,Gasabo,maize,391.0
2019-10-06,Gasabo,maize,358.0
2019-10-13,Gasabo,maize,377.0
2019-10-20,Gasabo,maize,371.0
2019-10-27,Gasabo,maize,379.0
2019-11-03,Gasabo,maize,395.0
2019-11-10,Gasabo,maize,365.0
2019-11-17,Gasabo,maize,346.0
2019-11-24,Gasabo,maize,362.0
2019-12-01,Gasabo,maize,386.0
2019-12-08,Gasabo,maize,347.0
2019-12-15,Gasabo,maize,349.0
2019-12-22,Gasabo,maize,378.0
2019-12-29,Gasabo,maize,366.0
2020-01-05,Gasabo,maize,374.0
2020-01-12,Gasabo,maize,362.0
2020-01-19,Gasabo,maize,377.0
2020-01-26,Gasabo,maize,347.0
2020-02-02,Gasabo,maize,373.0
2020-02-09,Gasabo,maize,373.0
2020-02-16,Gasabo,maize,360.0
2020-02-23,Gasabo,maize,359.0
2020-03-01,Gasabo,maize,410.0
2020-03-08,Gasabo,maize,430.0
2020-03-15,Gasabo,maize,426.0
2020-03-22,Gasabo,maize,452.0
2020-03-29,Gasabo,maize,483.0
2020-04-05,Gasabo,maize,428.0
2020-04-12,Gasabo,maize,450.0
2020-04-19,Gasabo,maize,467.0
2020-04-26,Gasabo,maize,519.0
2020-05-03,Gasabo,maize,503.0
2020-05-10,Gasabo,maize,516.0
2020-05-17,Gasabo,maize,483.0
2020-05-24,Gasabo,maize,486.0
2020-05-31,Gasabo,maize,518.0
2020-06-07,Gasabo,maize,512.0
2020-06-14,Gasabo,maize,521.0
2020-06-21,Gasabo,maize,505.0
2020-06-28,Gasabo,maize,511.0
2020-07-05,Gasabo,maize,505.0
2020-07-12,Gasabo,maize,512.0
2020-07-19,Gasabo,maize,507.0
2020-07-26,Gasabo,maize,455.0
2020-08-02,Gasabo,maize,437.0
2020-08-09,Gasabo,maize,492.0
2020-08-16,Gasabo,maize,488.0
2020-08-23,Gasabo,maize,438.0
2020-08-30,Gasabo,maize,413.0
2020-09-06,Gasabo,maize,445.0
2020-09-13,Gasabo,maize,453.0
2020-09-20,Gasabo,maize,461.0
2020-09-27,Gasabo,maize,429.0
2020-10-04,Gasabo,maize,403.0
2020-10-11,Gasabo,maize,386.0
2020-10-18,Gasabo,maize,396.0
2020-10-25,Gasabo,maize,385.0
2020-11-01,Gasabo,maize,365.0
2020-11-08,Gasabo,maize,419.0
2020-11-15,Gasabo,maize,410.0
2020-11-22,Gasabo,maize,395.0
2020-11-29,Gasabo,maize,355.0
2020-12-06,Gasabo,maize,389.0
2020-12-13,Gasabo,maize,386.0
2020-12-20,Gasabo,maize,383.0
2020-12-27,Gasabo,maize,401.0
2021-01-03,Gasabo,maize,394.0
2021-01-10,Gasabo,maize,388.0
2021-01-17,Gasabo,maize,387.0
2021-01-24,Gasabo,maize,383.0
2021-01-31,Gasabo,maize,345.0
2021-02-07,Gasabo,maize,388.0
2021-02-14,Gasabo,maize,380.0
2021-02-21,Gasabo,maize,371.0
2021-02-28,Gasabo,maize,433.0
2021-03-07,Gasabo,maize,442.0
2021-03-14,Gasabo,maize,474.0
2021-03-21,Gasabo,maize,462.0
2021-03-28,Gasabo,maize,491.0
2021-04-04,Gasabo,maize,476.0
2021-04-11,Gasabo,maize,487.0
2021-04-18,Gasabo,maize,470.0
2021-04-25,Gasabo,maize,505.0
2021-05-02,Gasabo,maize,504.0
2021-05-09,Gasabo,maize,483.0
2021-05-16,Gasabo,maize,512.0
2021-05-23,Gasabo,maize,514.0
2021-05-30,Gasabo,maize,553.0
2021-06-06,Gasabo,maize,540.0
2021-06-13,Gasabo,maize,524.0
2021-06-20,Gasabo,maize,528.0
2021-06-27,Gasabo,maize,522.0
2021-07-04,Gasabo,maize,519.0
2021-07-11,Gasabo,maize,499.0
2021-07-18,Gasabo,maize,512.0
2021-07-25,Gasabo,maize,495.0
2021-08-01,Gasabo,maize,481.0
2021-08-08,Gasabo,maize,508.0
2021-08-15,Gasabo,maize,499.0
2021-08-22,Gasabo,maize,449.0
2021-08-29,Gasabo,maize,473.0
2021-09-05,Gasabo,maize,491.0
2021-09-12,Gasabo,maize,484.0
2021-09-19,Gasabo,maize,475.0
2021-09-26,Gasabo,maize,448.0
2021-10-03,Gasabo,maize,426.0
2021-10-10,Gasabo,maize,414.0
2021-10-17,Gasabo,maize,433.0
2021-10-24,Gasabo,maize,427.0
2021-10-31,Gasabo,maize,439.0
2021-11-07,Gasabo,maize,436.0
2021-11-14,Gasabo,maize,409.0
2021-11-21,Gasabo,maize,384.0
2021-11-28,Gasabo,maize,399.0
2021-12-05,Gasabo,maize,414.0
2021-12-12,Gasabo,maize,406.0
2021-12-19,Gasabo,maize,399.0
2021-12-26,Gasabo,maize,417.0
2022-01-02,Gasabo,maize,411.0
2022-01-09,Gasabo,maize,404.0
2022-01-16,Gasabo,maize,423.0
2022-01-23,Gasabo,maize,410.0
2022-01-30,Gasabo,maize,425.0
2022-02-06,Gasabo,maize,441.0
2022-02-13,Gasabo,maize,418.0
2022-02-20,Gasabo,maize,436.0
2022-02-27,Gasabo,maize,479.0
2022-03-06,Gasabo,maize,443.0
2022-03-13,Gasabo,maize,465.0
2022-03-20,Gasabo,maize,478.0
2022-03-27,Gasabo,maize,522.0
2022-04-03,Gasabo,maize,540.0
2022-04-10,Gasabo,maize,545.0
2022-04-17,Gasabo,maize,578.0
2022-04-24,Gasabo,maize,510.0
2022-05-01,Gasabo,maize,584.0
2022-05-08,Gasabo,maize,611.0
2022-05-15,Gasabo,maize,565.0
2022-05-22,Gasabo,maize,582.0
2022-05-29,Gasabo,maize,578.0
2022-06-05,Gasabo,maize,584.0
2022-06-12,Gasabo,maize,595.0
2022-06-19,Gasabo,maize,628.0
2022-06-26,Gasabo,maize,634.0
2022-07-03,Gasabo,maize,597.0
2022-07-10,Gasabo,maize,636.0
2022-07-17,Gasabo,maize,596.0
2022-07-24,Gasabo,maize,624.0
2022-07-31,Gasabo,maize,583.0
2022-08-07,Gasabo,maize,583.0
2022-08-14,Gasabo,maize,580.0
2022-08-21,Gasabo,maize,626.0
2022-08-28,Gasabo,maize,574.0
2022-09-04,Gasabo,maize,537.0
2022-09-11,Gasabo,maize,561.0
2022-09-18,Gasabo,maize,527.0
2022-09-25,Gasabo,maize,516.0
2022-10-02,Gasabo,maize,535.0
2022-10-09,Gasabo,maize,511.0
2022-10-16,Gasabo,maize,508.0
2022-10-23,Gasabo,maize,496.0
2022-10-30,Gasabo,maize,497.0
2022-11-06,Gasabo,maize,488.0
2022-11-13,Gasabo,maize,439.0
2022-11-20,Gasabo,maize,485.0
2022-11-27,Gasabo,maize,451.0
2022-12-04,Gasabo,maize,437.0
2022-12-11,Gasabo,maize,462.0
2022-12-18,Gasabo,maize,466.0
2022-12-25,Gasabo,maize,452.0
2023-01-01,Gasabo,maize,478.0
2023-01-08,Gasabo,maize,433.0
2023-01-15,Gasabo,maize,451.0
2023-01-22,Gasabo,maize,449.0
2023-01-29,Gasabo,maize,462.0
2023-02-05,Gasabo,maize,465.0
2023-02-12,Gasabo,maize,445.0
2023-02-19,Gasabo,maize,483.0
2023-02-26,Gasabo,maize,477.0
2023-03-05,Gasabo,maize,442.0
2023-03-12,Gasabo,maize,480.0
2023-03-19,Gasabo,maize,526.0
2023-03-26,Gasabo,maize,530.0
2023-04-02,Gasabo,maize,531.0
